id,title,platform,url,video_id,source,country,language,status,expected_filename
1,1.   Ági szörp //Ági van?,youtube,https://www.youtube.com/watch?v=tLUNcvrZFb0,tLUNcvrZFb0,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_001.mp4
2,2.   Állami Húsfeldolgozó Társaság //Hurka Gyurka,youtube,https://www.youtube.com/watch?v=ZCaSGhxkTiY,ZCaSGhxkTiY,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_002.mp4
3,3.   Alza.hu //Kicsi zöld ufo,youtube,https://www.youtube.com/watch?v=fjWQE2W4JD4,fjWQE2W4JD4,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_003.mp4
4,4.   Baromfifeldolgozó Vállalat //Bontott csirke,youtube,https://www.youtube.com/watch?v=h3bD7LCgpRs,h3bD7LCgpRs,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_004.mp4
5,5.   BB pezsgő //Bé-bé-bé bé-bé,youtube,https://www.youtube.com/watch?v=BG7iz-7INFA,BG7iz-7INFA,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_005.mp4
6,7.   Budapest Bank //Emese,youtube,https://www.youtube.com/watch?v=FWwTvGXlVcY,FWwTvGXlVcY,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_006.mp4
7,8.   Budapesti Rádiótechnikai Gyár //MK-27 magnó,youtube,https://www.youtube.com/watch?v=dXDGoM-9M38,dXDGoM-9M38,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_007.mp4
8,9.   CBA //Kasszás Erzsi,youtube,https://www.youtube.com/watch?v=ygJd0-oL4f8,ygJd0-oL4f8,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_008.mp4
9,10. Chokito //Ronda és finom,youtube,https://www.youtube.com/watch?v=cXYeRCSsCkA,cXYeRCSsCkA,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_009.mp4
10,11. Cofidis //Unikornis,youtube,https://www.youtube.com/watch?v=Z6_ARaCVMac,Z6_ARaCVMac,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_010.mp4
11,13. Fluimucil //De miért?,youtube,https://www.youtube.com/watch?v=RzFncORrLyw,RzFncORrLyw,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_011.mp4
12,"14. Fővárosi Takarító Vállalat //Sebaj, jövünk!",youtube,https://www.youtube.com/watch?v=OWS9ESAOQRc,OWS9ESAOQRc,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_012.mp4
13,15. Hungária Biztosító //CASCO-t akarok kötni!,youtube,https://www.youtube.com/watch?v=9OwmCrCQlAA,9OwmCrCQlAA,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_013.mp4
14,16. Klapka //Vámház körút 8.,youtube,https://www.youtube.com/watch?v=xPMqf5GWfY4,xPMqf5GWfY4,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_014.mp4
15,17. Kontrax //Irodatechnika,youtube,https://www.youtube.com/watch?v=I59wleThUIg,I59wleThUIg,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_015.mp4
16,18. Malév //(reklámzene),youtube,https://www.youtube.com/watch?v=Nx9lkuHjoBE,Nx9lkuHjoBE,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_016.mp4
17,19. Márka //Hullala,youtube,https://www.youtube.com/watch?v=8fFZz0OIU9g,8fFZz0OIU9g,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_017.mp4
18,20. Matáv //Tudakozó + 197,youtube,https://www.youtube.com/watch?v=aDIqm-5F40U,aDIqm-5F40U,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_018.mp4
19,21. Mc Donald’s //Szia!,youtube,https://www.youtube.com/watch?v=dSkvWws1cyU,dSkvWws1cyU,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_019.mp4
20,22. Műanyag nyílászárók //Mert ez műanyag!,youtube,https://www.youtube.com/watch?v=F8BifESupAE,F8BifESupAE,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_020.mp4
21,23. Mezőgazdasági Ügyvitelszervezési és Számítástechnikai Közös Vállalat //Müszi,youtube,https://www.youtube.com/watch?v=rrmWRbclA9I,rrmWRbclA9I,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_021.mp4
22,24. Nestlé csokoládé //Távirányító,youtube,https://www.youtube.com/watch?v=DCXFko69ZJo,DCXFko69ZJo,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_022.mp4
23,25. OTP Bank //Forgóajtó,youtube,https://www.youtube.com/watch?v=DOZ1wejg3wY,DOZ1wejg3wY,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_023.mp4
24,26. Pannon Djuice //Bevezető kampány,youtube,https://www.youtube.com/watch?v=BPVHMM3Frog,BPVHMM3Frog,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_024.mp4
25,27. Pannon Djuice //SMS Bandi,youtube,https://www.youtube.com/watch?v=ADqIzrXMkiM,ADqIzrXMkiM,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_025.mp4
26,28. Pannon GSM //A csók,youtube,https://www.youtube.com/watch?v=w1B8CtgNUhg,w1B8CtgNUhg,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_026.mp4
27,39. Pécsi Bőrgyár //Ez mind pécsi kesztyű,youtube,https://www.youtube.com/watch?v=yq1ojwve0TY,yq1ojwve0TY,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_027.mp4
28,30. Pepsi //Kata vagyok,youtube,https://www.youtube.com/watch?v=Mge_f0sws2c,Mge_f0sws2c,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_028.mp4
29,31. Postabank //Szenzációs négyes,youtube,https://www.youtube.com/watch?v=fRIL8Qwopcg,fRIL8Qwopcg,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_029.mp4
30,33. Raiffeisen Bank //Hasi tasi,youtube,https://www.youtube.com/watch?v=EFr-klvbfzk,EFr-klvbfzk,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_030.mp4
31,34. RTL klub //Szerintem,youtube,https://www.youtube.com/watch?v=UxdxoXB3ooc,UxdxoXB3ooc,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_031.mp4
32,35. Sió gyümölcslé //Mindenünk a gyümölcs,youtube,https://www.youtube.com/watch?v=94PGcYJquUw,94PGcYJquUw,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_032.mp4
33,36. Skála Budapest Szövetkezeti Nagyáruház //Skála kópé,youtube,https://www.youtube.com/watch?v=Hkegr-lCT8U,Hkegr-lCT8U,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_033.mp4
34,"37. Soproni //Magyarország, én így szeretlek!",youtube,https://www.youtube.com/watch?v=KWYW_hYEfBI,KWYW_hYEfBI,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_034.mp4
35,38. Soproni Ászok //Egy jó pofa sör,youtube,https://www.youtube.com/watch?v=MyV_qKMcQ_A,MyV_qKMcQ_A,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_035.mp4
36,39. Sziget Fesztivál //Prodidzsáj,youtube,https://www.youtube.com/watch?v=rL-63jfLDQA,rL-63jfLDQA,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_036.mp4
37,"40. T-home //Apa, kezdődik!",youtube,https://www.youtube.com/watch?v=qh_tgQxHanM,qh_tgQxHanM,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_037.mp4
38,41. Telekom //Hogy vagy?,youtube,https://www.youtube.com/watch?v=pQn3trpZnPk,pQn3trpZnPk,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_038.mp4
39,42. Tisza cipő //Minden időben,youtube,https://www.youtube.com/watch?v=3_G0y2oddfU,3_G0y2oddfU,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_039.mp4
40,43. Traubisoda //Traubit kérünk!,youtube,https://www.youtube.com/watch?v=ojLxWuJ8t74,ojLxWuJ8t74,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_040.mp4
41,44. Túró Rudi //Pöttyös,youtube,https://www.youtube.com/watch?v=_3Uj7UvlZKs,_3Uj7UvlZKs,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_041.mp4
42,45. Unikum //Sport utca,youtube,https://www.youtube.com/watch?v=94SBa0T7ZqI,94SBa0T7ZqI,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_042.mp4
43,46. UPC //Szőke kapitány,youtube,https://www.youtube.com/watch?v=-cxLsZK_u6A,-cxLsZK_u6A,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_043.mp4
44,47. Vodafone //Kérész,youtube,https://www.youtube.com/watch?v=NWX3hBESfao,NWX3hBESfao,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_044.mp4
45,48. Vodafone //De csinosak vagyunk…,youtube,https://www.youtube.com/watch?v=fti2ukCoOpw,fti2ukCoOpw,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_045.mp4
46,49. Volkswagen //Kovács János,youtube,https://www.youtube.com/watch?v=WjHCdhV7i9I,WjHCdhV7i9I,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_046.mp4
47,50. Westel //A kapcsolat(High),youtube,https://www.youtube.com/watch?v=D6nCaIlUz2o,D6nCaIlUz2o,50-50lista.hu,Hungary,hu,not_downloaded,hungarian_ad_047.mp4
